Linux 6.17.0-19-generic (prateek) 	29/03/26 	_x86_64_	(8 CPU)

05:18:26 PM IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:18:32 PM IST    7  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00

05:18:32 PM IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:18:33 PM IST  all   37.83    0.00    1.12    0.00    0.00    0.37    0.00    0.00    0.00   60.67
05:18:33 PM IST    0    0.00    0.00    4.95    0.00    0.00    2.97    0.00    0.00    0.00   92.08
05:18:33 PM IST    1   76.77    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   23.23
05:18:33 PM IST    2    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
05:18:33 PM IST    3    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
05:18:33 PM IST    4    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
05:18:33 PM IST    5   25.74    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   73.27
05:18:33 PM IST    6  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:18:33 PM IST    7  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00

05:18:33 PM IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:18:34 PM IST  all   38.39    0.00    0.63    0.00    0.00    0.13    0.00    0.00    0.00   60.85
05:18:34 PM IST    0    0.00    0.00    4.04    0.00    0.00    1.01    0.00    0.00    0.00   94.95
05:18:34 PM IST    1    3.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
05:18:34 PM IST    2    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98
05:18:34 PM IST    3    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
05:18:34 PM IST    4    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
05:18:34 PM IST    5  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:18:34 PM IST    6  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:18:34 PM IST    7  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00

05:18:34 PM IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:18:35 PM IST  all   38.22    0.00    0.63    0.00    0.00    0.25    0.00    0.00    0.00   60.90
05:18:35 PM IST    0    0.00    0.00    3.00    0.00    0.00    2.00    0.00    0.00    0.00   95.00
05:18:35 PM IST    1    3.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
05:18:35 PM IST    2    2.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
05:18:35 PM IST    3    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
05:18:35 PM IST    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:18:35 PM IST    5  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:18:35 PM IST    6  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:18:35 PM IST    7  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00

05:18:35 PM IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:18:36 PM IST  all   37.95    0.00    1.00    0.00    0.00    0.37    0.00    0.00    0.00   60.67
05:18:36 PM IST    0    0.00    0.00    6.86    0.00    0.00    2.94    0.00    0.00    0.00   90.20
05:18:36 PM IST    1   81.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   19.00
05:18:36 PM IST    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:18:36 PM IST    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:18:36 PM IST    4    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
05:18:36 PM IST    5   22.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   78.00
05:18:36 PM IST    6  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:18:36 PM IST    7  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00

05:18:36 PM IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:18:37 PM IST  all   38.28    0.00    0.37    0.00    0.00    0.37    0.00    0.00    0.00   60.97
